Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",4,Viking,Hardcover,288,2020,2020,2023/12/01,2024/01/03,,,read,,,,1,0
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""198216963X""","=""9781982169633""",5,Atria Publishing,Hardcover,336,2019,2019,2023/12/01,2024/01/03,,,read,,,,1,0
52867387,Beach Read,Emily Henry,"Henry, Emily",,"=""1984806734""","=""9781984806734""",5,Berkley,Paperback,358,2020,2020,2023/12/01,2024/01/03,,,read,,,,1,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",5,Tor Books,Hardcover,448,2020,2020,2023/12/01,2024/01/05,,,read,,,,1,0
57238349,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,"=""""","=""""",4,,Hardcover,301,2021,2021,2023/12/01,2024/01/05,,,read,,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,Atria Books,Hardcover,337,2014,2012,2023/12/01,2024/01/05,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",3,Crown Publishers,Hardcover,480,2011,2011,2023/12/01,2024/01/05,,,read,,,,1,0
59336625,All the Lovers in the Night,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456998""","=""9781609456993""",1,Europa Editions,Hardcover,224,2022,2011,2023/12/01,2024/01/05,,,read,,,,1,0
27406704,Britt-Marie Was Here,Fredrik Backman,"Backman, Fredrik",,"=""1501142534""","=""9781501142536""",4,Atria Books,Hardcover,324,2016,2014,2023/12/01,2024/01/05,,,read,,,,1,0
23604559,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1501115065""","=""9781501115066""",4,Atria Books,Hardcover,372,2015,2013,2023/12/01,2024/01/05,,,read,,,,1,0
59808607,The Book of Goose,Yiyun Li,"Li, Yiyun",,"=""037460634X""","=""9780374606343""",1,"Farrar, Straus and Giroux",Hardcover,348,2022,2022,2023/12/01,2024/01/05,,,read,,,,1,0
57925999,The Crane Wife: A Memoir in Essays,C.J. Hauser,"Hauser, C.J.",,"=""0385547072""","=""9780385547079""",4,Doubleday,Hardcover,320,2022,2022,2023/12/01,2024/01/05,,,read,,,,1,0
58536026,Cover Story,Susan Rigetti,"Rigetti, Susan",,"=""006307205X""","=""9780063072053""",5,William Morrow,Hardcover,368,2022,2022,2023/12/01,2024/01/05,,,read,,,,1,0
59576064,All This Could Be Different,Sarah Thankam Mathews,"Mathews, Sarah Thankam",,"=""0593489128""","=""9780593489123""",4,Viking,Hardcover,320,2022,2022,2023/12/01,2024/01/05,,,read,,,,1,0
62800971,Banyan Moon,Thao Thai,"Thai, Thao",,"=""0063267101""","=""9780063267107""",5,Mariner Books,Hardcover,336,2023,2023,2023/12/01,2024/01/05,,,read,,,,1,0
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",5,Liveright,Hardcover,163,2020,2016,2023/12/01,2024/01/05,,,read,,,,1,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""0297851535""","=""9780297851530""",1,Broadway Paperbacks,Paperback,254,2007,2006,2023/12/01,2024/01/05,,,read,,,,1,0
58438631,Mouth to Mouth,Antoine Wilson,"Wilson, Antoine",,"=""198218180X""","=""9781982181802""",3,Avid Reader Press / Simon & Schuster,Hardcover,179,2022,2022,2023/12/01,2024/01/05,,,read,,,,1,0
28965131,Behind Her Eyes,Sarah Pinborough,"Pinborough, Sarah",,"=""125011117X""","=""9781250111173""",5,Flatiron Books,Hardcover,307,2017,2017,2023/12/01,2024/01/05,,,read,,,,1,0
25734248,"The Widow (Kate Waters, #1)",Fiona Barton,"Barton, Fiona",,"=""1101990260""","=""9781101990261""",3,Berkley,Hardcover,324,2016,2016,2023/12/01,2024/01/05,,,read,,,,1,0
122757697,Lest She Forget,Lisa Malice,"Malice, Lisa",,"=""0744307155""","=""9780744307153""",0,CamCat Books,Hardcover,368,2023,2023,,2024/01/02,to-read,to-read (#1),to-read,,,,0,0
